"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ziksana.persistence.member.collaboration","src/main/java/com/ziksana/persistence/member/collaboration/GroupMapper.java","3","39","The String literal 'groupId' appears 6 times in this file; the first occurrence is on line 39","String and StringBuffer Rules","AvoidDuplicateLiterals"
"2","com.ziksana.persistence.member.collaboration","src/main/java/com/ziksana/persistence/member/collaboration/GroupMapper.java","3","39","The String literal 'groupid' appears 4 times in this file; the first occurrence is on line 39","String and StringBuffer Rules","AvoidDuplicateLiterals"
"3","com.ziksana.persistence.member.collaboration","src/main/java/com/ziksana/persistence/member/collaboration/GroupMapper.java","3","51","The String literal 'name' appears 4 times in this file; the first occurrence is on line 51","String and StringBuffer Rules","AvoidDuplicateLiterals"
"4","com.ziksana.persistence.member.collaboration","src/main/java/com/ziksana/persistence/member/collaboration/GroupMapper.java","3","73","Avoid excessively long variable names like sourceGroupMemberId","Naming Rules","LongVariable"
"5","com.ziksana.persistence.member.collaboration","src/main/java/com/ziksana/persistence/member/collaboration/GroupMapper.java","3","118","Avoid excessively long variable names like curriculumCourseId","Naming Rules","LongVariable"
